"","V1","V2"
"1","FSH","163"
"2","Anti-TSHR","51"
"3","ACTH","17"
"4","BIL-T","228"
"5","CK","220"
"6","CO2","223"
"7","Ca","227"
"8","GGT","228"
"9","LDH","218"
"10","TRIGL","198"
"11","UREA/BUN","230"
"12","ALB","150"
"13","ALP","226"
"14","ALT","229"
"15","IgM","102"
"16","Mg","175"
"17","PHOS","216"
"18","UA","226"
"19","VALP","90"
"20","ACETA","23"
"21","B2MG","77"
"22","ETOH","89"
"23","HGLOB","104"
"24","LIP","228"
"25","NH3","54"
"26","Prealb","131"
"27","BIL-D","223"
"28","OPIA","8"
"29","Lambda","1"
"30","AST","229"
"31","LDL-C","84"
"32","TP","229"
"33","TRANS","180"
"34","U/CSF Protein","201"
"35","AAGP","40"
"36","Apo A I","116"
"37","IgA","101"
"38","IgG","102"
"39","LACT","65"
"40","Li","66"
"41","FRUC","7"
"42","AMYL","124"
"43","ASL/ASO","46"
"44","C3c","35"
"45","C4","32"
"46","RF-II","82"
"47","VANCO","52"
"48","CK-MB","25"
"49","sTfR","5"
"50","CARB","42"
"51","AAT","7"
"52","Apo B","80"
"53","PHNO","32"
"54","AMIK","28"
"55","THC","14"
"56","HOMOC","5"
"57","TPLA","13"
"58","HBA1C","27"
"59","MYO","75"
"60","SALI","4"
"61","GENTA","37"
"62","THEO","3"
"63","AT","10"
"64","BENZ","7"
"65","CREA-E","207"
"66","GLU","231"
"67","AMP","5"
"68","COCA","8"
"69","Cerulo","2"
"70","PHNY","6"
"71","Kappa","1"
"72","BARB","5"
"73","METH","0"
"74","CHOL","199"
"75","FE","187"
"76","CRP","231"
"77","DIGOX","131"
"78","HDL-C","198"
"79","mALB","184"
"80","FERR","190"
"81","CREA-J","61"
"82","hs-CRP","6"
"83","TOBRA","2"
"84","LP (a)","2"
"85","CYSTC","1"
"86","AMYL-P","0"
"87","TMPA","0"
"88","AT III","1"
"89","CHE","1"
"90","ACP","0"
"91","D-Dimer","6"
"92","UIBC","0"
"93","A1M","1"
"94","Cyclosporine","9"
"95","S100","1"
"96","Anti-HAV","92"
"97","CORT","127"
"98","HBsAg","152"
"99","PSA","165"
"100","PTH (1-84)","35"
"101","Syphilis","90"
"102","Testosterone","100"
"103","CA 125","132"
"104","CA 19-9","133"
"105","CMV IgG","90"
"106","FPSA","154"
"107","AFP","140"
"108","Anti-HAV IgM","107"
"109","Anti-HBs","148"
"110","CA 15-3","136"
"111","CMV IgM","90"
"112","Cyfra 21-1","9"
"113","HIV","162"
"114","IgE","76"
"115","LH","184"
"116","PRL","143"
"117","ProBNP","224"
"118","TSH","186"
"119","Toxo IgM","144"
"120","FOLATE","131"
"121","PRG","171"
"122","HGH","1"
"123","NSE","13"
"124","FT3","161"
"125","FT4","172"
"126","AMH","32"
"127","Anti-HBc","146"
"128","Anti-HBc IgM","42"
"129","Anti-HCV","152"
"130","Anti-TG","109"
"131","Anti-TPO","108"
"132","B12","129"
"133","CEA","138"
"134","E2","188"
"135","Rubella IgG","136"
"136","Toxo IgG","143"
"137","FOLATE RBC","7"
"138","Anti-HBe","5"
"139","HBeAg","5"
"140","INS","14"
"141","Toxo IgG Avidity","3"
"142","Anti-CCP","33"
"143","Beta-CrossLaps","50"
"144","DHEAS/DHEA","41"
"145","TG","40"
"146","Vit D Total","131"
"147","hCT","27"
"148","Tacrolimus","11"
"149","FHCG+B","20"
"150","HE4","4"
"151","HIV Ag P24","6"
"152","Osteocalcin","9"
"153","PAPP-A","19"
"154","PTH","101"
"155","HTLV I/II","3"
"156","C-Peptide","9"
"157","Rubella IgM","13"
"158","TNI","6"
"159","IGF-1","2"
"160","CMV IgG Avidity","0"
"161","SCC","3"
"162","PlGF","1"
"163","sFLT1","1"
"164","SHBG","3"
"165","T4","0"
"166","HSV-1 IgG","3"
"167","HSV-2 IgG","3"
"168","P1NP","1"
"169","HBsAg quant.","1"
"170","CT/NG qual.","12"
"171","HBV quant.","8"
"172","HCV quant.","8"
"173","HIV-1 quant.","7"
"174","HPV qual.","4"
"175","LightCycler 480 System Reagents","1"
"176","TV / MG qual.","2"
"177","HCG+B","234"
"178","TNT","206"
"179","HCG","26"
"180","ISE Auxiliaries","231"
